"filename", "language", "C++", "comment", "blank", "total"
"c:\dev\CS-425-Team-20\CS-425-Team-20\jason-mills\Open3D\test.cpp", "C++", 41, 2, 8, 51
"Total", "-", 41, 2, 8, 51
