"filename", "language", "C#", "XML", "JSON", "Properties", "Python", "comment", "blank", "total"
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\ViewModel\StartWindowViewModel.cs", "C#", 367, 0, 0, 0, 0, 21, 39, 427
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\ViewModel\ViewModelBase.cs", "C#", 17, 0, 0, 0, 0, 0, 3, 20
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\View\GuiTutorial.xaml", "XML", 0, 63, 0, 0, 0, 4, 4, 71
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\View\GuiTutorial.xaml.cs", "C#", 24, 0, 0, 0, 0, 3, 2, 29
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\View\HardwareTutorial.xaml", "XML", 0, 63, 0, 0, 0, 4, 4, 71
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\View\HardwareTutorial.xaml.cs", "C#", 24, 0, 0, 0, 0, 3, 2, 29
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\View\ScanFinals.xaml", "XML", 0, 75, 0, 0, 0, 7, 4, 86
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\View\ScanFinals.xaml.cs", "C#", 24, 0, 0, 0, 0, 3, 2, 29
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\View\ScanInProgress.xaml", "XML", 0, 16, 0, 0, 0, 0, 1, 17
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\View\ScanInProgress.xaml.cs", "C#", 24, 0, 0, 0, 0, 3, 2, 29
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\View\ScanResults.xaml", "XML", 0, 68, 0, 0, 0, 7, 8, 83
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\View\ScanResults.xaml.cs", "C#", 24, 0, 0, 0, 0, 3, 2, 29
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\View\ScanResultsEmpty.xaml", "XML", 0, 11, 0, 0, 0, 0, 1, 12
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\View\ScanResultsEmpty.xaml.cs", "C#", 24, 0, 0, 0, 0, 3, 2, 29
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\View\SettingsWindow.xaml", "XML", 0, 323, 0, 0, 0, 13, 21, 357
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\View\SettingsWindow.xaml.cs", "C#", 47, 0, 0, 0, 0, 3, 5, 55
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\View\StartWindow.xaml", "XML", 0, 159, 0, 0, 0, 23, 20, 202
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\View\StartWindow.xaml.cs", "C#", 24, 0, 0, 0, 0, 3, 2, 29
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\C3PO.deps.json", "JSON", 0, 0, 1516, 0, 0, 0, 0, 1516
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\C3PO.runtimeconfig.json", "JSON", 0, 0, 15, 0, 0, 0, 0, 15
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\bin\Editor.py", "Python", 0, 0, 0, 0, 624, 82, 262, 968
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\bin\EditorDriver.py", "Python", 0, 0, 0, 0, 149, 11, 42, 202
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\bin\RenderDriver.py", "Python", 0, 0, 0, 0, 7, 0, 4, 11
