"filename", "language", "Python", "comment", "blank", "total"
"c:\dev\CS-425-Team-20\CS-425-Team-20\jason-mills\Open3D\Editor.py", "Python", 624, 82, 262, 968
"c:\dev\CS-425-Team-20\CS-425-Team-20\jason-mills\Open3D\EditorDriver.py", "Python", 149, 11, 42, 202
"c:\dev\CS-425-Team-20\CS-425-Team-20\jason-mills\Open3D\Structs.py", "Python", 19, 3, 4, 26
"Total", "-", 792, 96, 308, 1196
